X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type
127.194032,37.72955,경기,Charcoal,남양주 장현,59,중앙문화재연구원,1680,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,77,중앙문화재연구원,1700,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,74,중앙문화재연구원,1720,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,83,중앙문화재연구원,1730,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,71,중앙문화재연구원,1740,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,49,중앙문화재연구원,1750,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,35,중앙문화재연구원,1760,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,12,중앙문화재연구원,1770,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,44,중앙문화재연구원,1820,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,4,중앙문화재연구원,1820,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,65,중앙문화재연구원,1830,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,34,중앙문화재연구원,1840,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,14,중앙문화재연구원,1850,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,16,중앙문화재연구원,1910,50,방형
127.194032,37.72955,경기,Charcoal,남양주 장현,29,중앙문화재연구원,1970,50,방형
127.166779,37.626062,경기,Charcoal,남양주 지금동,2 ,세종대학교박물관,1701,47,呂·凸자형
127.166779,37.626062,경기,Charcoal,남양주 지금동,4 ,세종대학교박물관,1725,36,呂·凸자형
126.78707,37.874197,경기,Charcoal,문산 당동리,7-4,경기문화재연구원,1690,50,방형
126.78707,37.874197,경기,Charcoal,문산 당동리,7-1,경기문화재연구원,1740,50,방형
126.78707,37.874197,경기,Charcoal,문산 당동리,1-11,경기문화재연구원,1850,50,방형
126.813526,37.473065,경기,Charcoal,부천 범박동,4-2-4,한울문화재연구원,1460,50,방형
126.813526,37.473065,경기,Charcoal,부천 범박동,4-2-3,한울문화재연구원,1580,36,방형
127.107419,37.607575,서울,Charcoal,서울 망우동,3-2,서경문화재연구원,1700,30,呂·凸자형
127.107419,37.607575,서울,Charcoal,서울 망우동,3-3,서경문화재연구원,1630,30,呂·凸자형
127.107419,37.607575,서울,Charcoal,서울 망우동,3-4,서경문화재연구원,1660,30,불명
127.107419,37.607575,서울,Charcoal,서울 망우동,3-8,서경문화재연구원,1620,30,불명
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(I-2013~2014 북문지),북문지-내측-통일신라-4,한성백제박물관,1299,34,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(I-2013~2014 북문지),북문지-내측-통일신라-1,한성백제박물관,1670,30,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(I-2013~2014 북문지),북문지-내측-통일신라-5,한성백제박물관,1590,30,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(I-2013~2014 북문지),북문지-내측-통일신라-8,한성백제박물관,1260,30,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(I-2013~2014 북문지),북문지-내측-통일신라-10,한성백제박물관,1560,40,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(I-2013~2014 북문지),북문지-내측-통일신라-11,한성백제박물관,1280,30,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(I-2013~2014 북문지),북문지-내측-통일신라-13,한성백제박물관,1520,30,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(I-2013~2014 북문지),북문지-내측-통일신라-14,한성백제박물관,1360,50,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(I-2013~2014 북문지),북문지-내측-통일신라-16,한성백제박물관,1300,30,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(I-2013~2014 북문지),북문지-내측-통일신라-17,한성백제박물관,1610,30,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(III- 2015~2018 북문지),북문지-통일신라-13,한성백제박물관,1520,30,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(III- 2015~2018 북문지),북문지-통일신라-19,한성백제박물관,1590,30,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(III- 2015~2018 북문지),북문지-통일신라-20,한성백제박물관,1313,25,신라
127.123767,37.523283,서울,Charcoal,서울 몽촌토성(III- 2015~2018 북문지),북문지-통일신라-26,한성백제박물관,1480,50,신라
